Date,d_esn_etf50,d_esn_etf300,d_esn_etf500
20151102,"100,000","100,000","100,000"
20151103,"100,048","100,189","100,000"
20151104,"105,053","106,195","100,000"
20151105,"107,649","107,882","100,000"
20151106,"110,025","110,456","100,000"
20151109,"111,477","111,600","99,876"
20151110,"110,993","111,286","99,940"
20151111,"110,245","111,143","101,604"
20151112,"108,678","109,742","101,604"
20151113,"108,678","109,561","101,604"
20151116,"108,678","110,164","101,604"
20151117,"108,678","110,069","101,479"
20151118,"108,551","109,062","99,943"
20151119,"110,014","109,062","103,053"
20151120,"109,480","109,024","103,018"
20151123,"109,080","108,482","101,904"
20151124,"108,813","108,567","102,799"
20151125,"109,258","109,223","102,789"
20151126,"108,946","108,710","101,859"
20151127,"103,358","102,614","95,363"
20151130,"103,358","102,614","95,363"
20151201,"103,323","102,579","95,293"
